Date,Open,High,Low,Close,Adj Close,Volume
4/1/2020,376.049988,380.230011,361.019989,364.079987,364.079987,6672500
4/2/2020,364.079987,370.98999,360.059998,370.079987,370.079987,4592500
4/3/2020,367.470001,370.899994,357.51001,361.76001,361.76001,4860800
4/6/2020,365.220001,380.290009,361.709991,379.959991,379.959991,8183900
4/7/2020,380,381.329987,369.339996,372.279999,372.279999,7046400
4/8/2020,374.01001,378.390015,368.309998,371.119995,371.119995,6908900
4/9/2020,371.059998,372.100006,363.029999,370.720001,370.720001,7711300
4/13/2020,371.309998,400.51001,367.700012,396.720001,396.720001,11692900
4/14/2020,397.5,417.820007,394.850006,413.549988,413.549988,11581000
4/15/2020,413,434.980011,412.25,426.75,426.75,13561200
4/16/2020,437,449.519989,431.609985,439.170013,439.170013,16128700
4/17/2020,431,432,414.700012,422.959991,422.959991,12616300
4/20/2020,435.170013,444.48999,430.559998,437.48999,437.48999,12655800
4/21/2020,444.769989,447,425.600006,433.829987,433.829987,23177600
4/22/2020,429.730011,433,413,421.420013,421.420013,21123800
4/23/2020,419.26001,438.410004,419.26001,426.700012,426.700012,13952300
4/24/2020,425,427.170013,415.880005,424.98999,424.98999,8670400
4/27/2020,425,429,420.839996,421.380005,421.380005,6277500
4/28/2020,419.98999,421,402.910004,403.829987,403.829987,10101200
4/29/2020,399.529999,415.859985,393.600006,411.890015,411.890015,9693100
4/30/2020,410.309998,424.440002,408,419.850006,419.850006,7954000
5/1/2020,415.100006,427.970001,411.730011,415.269989,415.269989,8299900
5/4/2020,417.779999,428.540009,414.869995,428.149994,428.149994,7799100
5/5/2020,427.559998,431,421.559998,424.679993,424.679993,6286300
5/6/2020,429.299988,439.769989,426.390015,434.26001,434.26001,6660700
5/7/2020,436.890015,438.880005,430.660004,436.529999,436.529999,5641900
5/8/2020,434.140015,442,433.640015,435.549988,435.549988,5054300
5/11/2020,436.329987,444.890015,435.559998,440.519989,440.519989,5480300
5/12/2020,442,444.170013,431.359985,431.820007,431.820007,4598200
5/13/2020,435.690002,447,427.269989,438.269989,438.269989,7014600
