Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,
,,,,,,
9/1/2011,33.504284,34.07143,15.375714,16.181429,16.181429,1679588400
,,,,,,
,,,,,,
12/1/2011,9.202857,11.084286,9.142858,9.898571,9.898571,842035600
,,,,,,
,,,,,,
3/1/2012,15.585714,17.639999,14.647142,16.434286,16.434286,814660700
,,,,,,
,,,,,,
6/1/2012,8.707143,10.068571,8.671429,9.784286,9.784286,499411500
,,,,,,
,,,,,,
9/1/2012,8.285714,8.774285,7.578571,7.777143,7.777143,639131500
,,,,,,
,,,,,,
12/1/2012,11.692857,13.971429,10.642858,13.227143,13.227143,598236100
,,,,,,
,,,,,,
3/1/2013,26.73,28.151428,25.165714,27.040001,27.040001,520408700
,,,,,,
,,,,,,
6/1/2013,32.435715,33.697144,29.392857,30.155714,30.155714,412636700
,,,,,,
,,,,,,
9/1/2013,41.061428,45.77,40.650002,44.172855,44.172855,386857800
,,,,,,
,,,,,,
12/1/2013,52.125713,54.851429,50.285713,52.595715,52.595715,313308800
,,,,,,
,,,,,,
3/1/2014,63.027142,65.428574,49.982857,50.290001,50.290001,377239800
,,,,,,
,,,,,,
6/1/2014,59.925713,64.402855,58.92857,62.942856,62.942856,352660000
,,,,,,
,,,,,,
9/1/2014,68.35714,69.898575,62.697144,64.454285,64.454285,268345700
,,,,,,
,,,,,,
12/1/2014,49.285713,51.135715,45.077145,48.80143,48.80143,265990200
,,,,,,
,,,,,,
3/1/2015,67.714287,68.60714,58.572857,59.527142,59.527142,327866000
,,,,,,
,,,,,,
6/1/2015,88.837143,100.891426,87.944283,93.848572,93.848572,469260400
,,,,,,
,,,,,,
9/1/2015,109.349998,111.239998,93.550003,103.260002,103.260002,497401200
,,,,,,
,,,,,,
12/1/2015,124.470001,133.270004,113.849998,114.379997,114.379997,319939200
,,,,,,
,,,,,,
3/1/2016,94.580002,104.910004,93.610001,102.230003,102.230003,311333700
,,,,,,
,,,,,,
6/1/2016,101.5,102.150002,84.809998,91.480003,91.480003,218216500
,,,,,,
,,,,,,
9/1/2016,97.809998,100.349998,93.260002,98.550003,98.550003,169670600
,,,,,,
,,,,,,
12/1/2016,117.519997,129.070007,113.949997,123.800003,123.800003,128528700
,,,,,,
,,,,,,
3/1/2017,142.839996,148.289993,138.259995,147.809998,147.809998,110692700
,,,,,,
,,,,,,
6/1/2017,163.520004,166.869995,147.300003,149.410004,149.410004,135699700
,,,,,,
,,,,,,
9/1/2017,175.550003,189.949997,172.440002,181.350006,181.350006,111427900
,,,,,,
,,,,,,
12/1/2017,186.990005,194.490005,178.380005,191.960007,191.960007,115103700
,,,,,,
,,,,,,
3/1/2018,292.75,333.980011,275.899994,295.350006,295.350006,263449400
,,,,,,
,,,,,,
6/1/2018,353.880005,423.209991,352.820007,391.429993,391.429993,244031800
,,,,,,
,,,,,,
9/1/2018,366.470001,383.200012,335.829987,374.130005,374.130005,170832100
,,,,,,
,,,,,,
12/1/2018,293.190002,298.720001,231.229996,267.660004,267.660004,234310000
,,,,,,
,,,,,,
3/1/2019,362.26001,379,342.470001,356.559998,356.559998,144843100
,,,,,,
,,,,,,
6/1/2019,343.559998,375,332.649994,367.320007,367.320007,111052000
,,,,,,
,,,,,,
9/1/2019,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
,,,,,,
,,,,,,
12/1/2019,314.390015,338,292.019989,323.570007,323.570007,124723600
,,,,,,
,,,,,,
3/1/2020,373.109985,393.519989,290.25,375.5,375.5,201979100
